method,path,auth,path_params,source
GET,/api/v1/dealers/me/demand,authenticated,,dealers.py:my_demand
GET,/api/v1/dealers/me/inventory,authenticated,,dealers.py:my_inventory
GET,/api/v1/dealers/me/leads,authenticated,,dealers.py:my_leads
GET,/api/v1/dealers/me/matched,authenticated,,dealers.py:my_matched
GET,/api/v1/dealers/me/performance,authenticated,,dealers.py:my_performance
GET,/api/v1/dealers/me/sold,authenticated,,dealers.py:my_sold
GET,/api/v1/dealers/me/voice-briefing,authenticated,,dealers.py:my_voice_briefing
GET,/api/v1/dealers/team/inventory,authenticated,,dealers.py:team_inventory
GET,/api/v1/document-types,public,,document_types.py:list_document_types
POST,/api/v1/document-types,admin,,document_types.py:create_document_type
DELETE,/api/v1/document-types/{type_id},admin,type_id,document_types.py:delete_document_type
PATCH,/api/v1/document-types/{type_id},admin,type_id,document_types.py:update_document_type
GET,/api/v1/employees,owner,,employees.py:list_employees
POST,/api/v1/employees,owner,,employees.py:create_employee
DELETE,/api/v1/employees/{employee_id},owner,employee_id,employees.py:delete_employee
PATCH,/api/v1/employees/{employee_id},owner,employee_id,employees.py:update_employee
PATCH,/api/v1/employees/{employee_id}/status,owner,employee_id,employees.py:set_employee_status
GET,/api/v1/enquiries,staff,,enquiries.py:my_enquiries
POST,/api/v1/enquiries,staff,,enquiries.py:create_enquiry
POST,/api/v1/enquiries/contact,authenticated,,enquiries.py:contact_seller
GET,/api/v1/enquiries/contacted-owners,public,,enquiries.py:contacted_owners
GET,/api/v1/enquiries/dealership-vehicles,staff,,enquiries.py:dealership_vehicles
GET,/api/v1/enquiries/hot-leads,staff,,enquiries.py:list_hot_leads
GET,/api/v1/enquiries/my,authenticated,,enquiries.py:my_enquiry_history
DELETE,/api/v1/enquiries/{enquiry_id},staff,enquiry_id,enquiries.py:delete_enquiry
PATCH,/api/v1/enquiries/{enquiry_id},staff,enquiry_id,enquiries.py:update_enquiry
GET,/api/v1/enquiries/{enquiry_id}/activity,staff,enquiry_id,enquiries.py:enquiry_activity
PATCH,/api/v1/enquiries/{enquiry_id}/assign,owner,enquiry_id,enquiries.py:assign_enquiry
POST,/api/v1/enquiries/{enquiry_id}/email,staff,enquiry_id,enquiries.py:email_enquiry
GET,/api/v1/enquiries/{enquiry_id}/followups,staff,enquiry_id,enquiries.py:list_followups
POST,/api/v1/enquiries/{enquiry_id}/followups,staff,enquiry_id,enquiries.py:add_followup
GET,/api/v1/enquiries/{enquiry_id}/pdf,staff,enquiry_id,enquiries.py:enquiry_pdf
POST,/api/v1/enquiries/{enquiry_id}/qualify,staff,enquiry_id,enquiries.py:qualify_enquiry
GET,/api/v1/enquiries/{enquiry_id}/quote,staff,enquiry_id,enquiries.py:get_quote
PUT,/api/v1/enquiries/{enquiry_id}/quote,staff,enquiry_id,enquiries.py:upsert_quote
POST,/api/v1/enquiries/{enquiry_id}/whatsapp,staff,enquiry_id,enquiries.py:whatsapp_enquiry
GET,/api/v1/favorites,authenticated,,favorites.py:my_favorites
GET,/api/v1/favorites/dealer/me,authenticated,,favorites.py:favorited_my_vehicles
GET,/api/v1/favorites/ids,authenticated,,favorites.py:my_favorite_ids
DELETE,/api/v1/favorites/{vehicle_id},authenticated,vehicle_id,favorites.py:remove_favorite
POST,/api/v1/favorites/{vehicle_id},authenticated,vehicle_id,favorites.py:add_favorite
POST,/api/v1/insurance/book,authenticated,,insurance.py:book_quote
GET,/api/v1/insurance/policies,authenticated,,insurance.py:my_policies
POST,/api/v1/insurance/policies,authenticated,,insurance.py:add_policy
DELETE,/api/v1/insurance/policies/{policy_id},authenticated,policy_id,insurance.py:delete_policy
POST,/api/v1/insurance/policies/{policy_id}/renew,authenticated,policy_id,insurance.py:renew_policy
POST,/api/v1/insurance/quote-request,authenticated,,insurance.py:request_insurance_quotes
GET,/api/v1/insurance/quote-requests,authenticated,,insurance.py:list_quote_requests
GET,/api/v1/insurance/quote-requests/{req_id}/previous,authenticated,req_id,insurance.py:download_previous_policy
POST,/api/v1/insurance/quotes,public,,insurance.py:get_quotes
GET,/api/v1/invoices/mine,authenticated,,invoicing.py:my_invoices
GET,/api/v1/invoices/{invoice_id}/pdf,authenticated,invoice_id,invoicing.py:download_my_invoice
GET,/api/v1/legal/{doc_type},public,doc_type,legal.py:get_legal_document
GET,/api/v1/loan-agents/applications,public,,loan_agents.py:list_applications
POST,/api/v1/loan-agents/applications,public,,loan_agents.py:create_application
DELETE,/api/v1/loan-agents/applications/{app_id},public,app_id,loan_agents.py:delete_application
PATCH,/api/v1/loan-agents/applications/{app_id},public,app_id,loan_agents.py:update_application
POST,/api/v1/loan-agents/documents,public,,loan_agents.py:upload_document
DELETE,/api/v1/loan-agents/documents/{doc_id},public,doc_id,loan_agents.py:delete_document
GET,/api/v1/loan-agents/documents/{doc_id},authenticated,doc_id,loan_agents.py:download_document
GET,/api/v1/loan-agents/me,public,,loan_agents.py:my_profile
PATCH,/api/v1/loan-agents/me,public,,loan_agents.py:update_profile
GET,/api/v1/loan-agents/offers,public,,loan_agents.py:list_offers
POST,/api/v1/loan-agents/offers,public,,loan_agents.py:create_offer
DELETE,/api/v1/loan-agents/offers/{offer_id},public,offer_id,loan_agents.py:delete_offer
PATCH,/api/v1/loan-agents/offers/{offer_id},public,offer_id,loan_agents.py:update_offer
GET,/api/v1/loan-agents/offers/{offer_id}/file,authenticated,offer_id,loan_agents.py:download_offer
GET,/api/v1/locations/cities,public,,locations.py:list_cities
GET,/api/v1/locations/states,public,,locations.py:list_states
GET,/api/v1/notifications,authenticated,,notifications.py:my_notifications
POST,/api/v1/notifications/devices,authenticated,,notifications.py:register_device
DELETE,/api/v1/notifications/devices/{token},authenticated,token,notifications.py:unregister_device
GET,/api/v1/notifications/preferences,authenticated,,notifications.py:get_prefs
PUT,/api/v1/notifications/preferences,authenticated,,notifications.py:set_prefs
POST,/api/v1/notifications/read-all,authenticated,,notifications.py:mark_all_read
GET,/api/v1/notifications/unread-count,authenticated,,notifications.py:unread_count
POST,/api/v1/notifications/{notif_id}/read,authenticated,notif_id,notifications.py:mark_read
GET,/api/v1/offers/made,public,,offers.py:offers_i_made
GET,/api/v1/offers/mine,authenticated,,offers.py:my_offers_grouped
GET,/api/v1/offers/vehicle/{vehicle_id},public,vehicle_id,offers.py:my_offer_for_vehicle
POST,/api/v1/offers/vehicle/{vehicle_id},public,vehicle_id,offers.py:make_offer
POST,/api/v1/offers/{offer_id}/accept,authenticated,offer_id,offers.py:accept_offer
POST,/api/v1/offers/{offer_id}/reject,authenticated,offer_id,offers.py:reject_offer
GET,/api/v1/phone-verification/confirm,public,,phone_verify.py:confirm
POST,/api/v1/phone-verification/start,authenticated,,phone_verify.py:start_verification
GET,/api/v1/phone-verification/status,authenticated,,phone_verify.py:verification_status
GET,/api/v1/pricing/estimate,staff,,pricing.py:get_estimate
GET,/api/v1/pricing/ex-showroom,staff,,pricing.py:get_ex_showroom
POST,/api/v1/reports,authenticated,,moderation.py:create_report
GET,/api/v1/service-bookings,provider,,service_bookings.py:list_bookings
POST,/api/v1/service-bookings,provider,,service_bookings.py:create_booking
GET,/api/v1/service-bookings/available-features,provider,,service_bookings.py:available_features
POST,/api/v1/service-bookings/custom-service-request,provider,,service_bookings.py:request_custom_service
POST,/api/v1/service-bookings/feature-add-request,provider,,service_bookings.py:request_add_feature
GET,/api/v1/service-bookings/features,authenticated,,service_bookings.py:service_features
GET,/api/v1/service-bookings/mine,authenticated,,service_bookings.py:my_requests
GET,/api/v1/service-bookings/my-feature-prices,provider,,service_bookings.py:my_feature_prices
PUT,/api/v1/service-bookings/my-feature-prices,provider,,service_bookings.py:save_feature_prices
GET,/api/v1/service-bookings/pdi,authenticated,,service_bookings.py:pdi_status
POST,/api/v1/service-bookings/pdi,authenticated,,service_bookings.py:order_pdi
GET,/api/v1/service-bookings/providers,authenticated,,service_bookings.py:list_providers
POST,/api/v1/service-bookings/request,authenticated,,service_bookings.py:request_service
GET,/api/v1/service-bookings/service-add-request,provider,,service_bookings.py:my_service_add_requests
POST,/api/v1/service-bookings/service-add-request,provider,,service_bookings.py:request_add_service
DELETE,/api/v1/service-bookings/{booking_id},provider,booking_id,service_bookings.py:delete_booking
PATCH,/api/v1/service-bookings/{booking_id},provider,booking_id,service_bookings.py:update_booking
POST,/api/v1/service-bookings/{booking_id}/accept-proposal,authenticated,booking_id,service_bookings.py:accept_proposal
POST,/api/v1/service-bookings/{booking_id}/accept-quote,authenticated,booking_id,service_bookings.py:accept_quote
POST,/api/v1/service-bookings/{booking_id}/cancel,authenticated,booking_id,service_bookings.py:cancel_my_booking
POST,/api/v1/service-bookings/{booking_id}/complete,provider,booking_id,service_bookings.py:complete_booking
GET,/api/v1/service-bookings/{booking_id}/completion-report,authenticated,booking_id,service_bookings.py:serve_report
POST,/api/v1/service-bookings/{booking_id}/completion-report,provider,booking_id,service_bookings.py:upload_report
POST,/api/v1/service-bookings/{booking_id}/decline-quote,authenticated,booking_id,service_bookings.py:decline_quote
POST,/api/v1/service-bookings/{booking_id}/email-invoice,provider,booking_id,service_bookings.py:email_invoice
GET,/api/v1/service-bookings/{booking_id}/invoices,authenticated,booking_id,service_bookings.py:list_invoices
POST,/api/v1/service-bookings/{booking_id}/invoices,provider,booking_id,service_bookings.py:upload_invoices
DELETE,/api/v1/service-bookings/{booking_id}/invoices/{invoice_id},provider,booking_id|invoice_id,service_bookings.py:delete_invoice
GET,/api/v1/service-bookings/{booking_id}/invoices/{invoice_id},authenticated,booking_id|invoice_id,service_bookings.py:serve_invoice
POST,/api/v1/service-bookings/{booking_id}/propose,provider,booking_id,service_bookings.py:propose_time
POST,/api/v1/service-bookings/{booking_id}/quote,provider,booking_id,service_bookings.py:send_quote
POST,/api/v1/service-bookings/{booking_id}/reject-proposal,authenticated,booking_id,service_bookings.py:reject_proposal
GET,/api/v1/service-centres,optional,,service_centres.py:list_centres
GET,/api/v1/service-types,public,,service_types.py:list_active_service_types
